# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
000682,SZSE,active,2026-08-23,,,,东方电子股份有限公司
688013,SSE,active,2026-08-23,,,,天臣国际医疗科技股份有限公司
600236,SSE,active,2026-08-23,,,,广西桂冠电力股份有限公司
002897,SZSE,active,2026-08-23,,,,温州意华接插件股份有限公司
002050,SZSE,active,2026-08-23,,,,浙江三花智能控制股份有限公司
688155,SSE,active,2026-08-23,,,,上海先惠自动化技术股份有限公司
300274,SZSE,active,2026-08-23,,,,阳光电源股份有限公司
002768,SZSE,active,2026-08-23,,,,青岛国恩科技股份有限公司
605098,SSE,active,2026-08-23,,,,上海行动教育科技股份有限公司
300685,SZSE,active,2026-08-23,,,,厦门艾德生物医药科技股份有限公司
603909,SSE,active,2026-08-23,,,,建发合诚工程咨询股份有限公司
002837,SZSE,active,2026-08-23,,,,深圳市英维克科技股份有限公司
002595,SZSE,active,2026-08-23,,,,山东豪迈机械科技股份有限公司
603499,SSE,active,2026-08-23,,,,上海翔港包装科技股份有限公司
301109,SZSE,active,2026-08-23,,,,湖南军信环保股份有限公司
000893,SZSE,active,2026-08-23,,,,亚钾国际投资(广州)股份有限公司
001210,SZSE,active,2026-08-23,,,,金房能源集团股份有限公司
603067,SSE,active,2026-08-23,,,,湖北振华化学股份有限公司
600549,SSE,active,2026-08-23,,,,厦门钨业股份有限公司
603897,SSE,active,2026-08-23,,,,浙江长城电工科技股份有限公司
600983,SSE,active,2026-08-23,,,,惠而浦(中国)股份有限公司
603998,SSE,active,2026-08-23,,,,湖南方盛制药股份有限公司
300750,SZSE,active,2026-08-23,,,,宁德时代新能源科技股份有限公司
601336,SSE,active,2026-08-23,,,,新华人寿保险股份有限公司
002703,SZSE,active,2026-08-23,,,,浙江世宝股份有限公司
300458,SZSE,active,2026-08-23,,,,珠海全志科技股份有限公司
688608,SSE,active,2026-08-23,,,,恒玄科技(上海)股份有限公司
605298,SSE,active,2026-08-23,,,,江苏必得科技股份有限公司
603986,SSE,active,2026-08-23,,,,兆易创新科技集团股份有限公司
